ano,dp,dpto,sexo,a_defun,c_bas1,nombre_enfermedad,gru_edad,n,total
2005,05,Antioquia,Mujer,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,65-69,4,49489
2005,05,Antioquia,Mujer,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,70-74,4,38183
2007,05,Antioquia,Mujer,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,50-54,4,127624
2007,05,Antioquia,Mujer,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,80-84,4,20615
2009,05,Antioquia,Mujer,Cabecera Municipal,C73,Tumor maligno de la tiroides y otras glándulas endocrinas,70-74,4,43235
2009,05,Antioquia,Mujer,Cabecera Municipal,C73,Tumor maligno de la tiroides y otras glándulas endocrinas,75-79,4,31732
2010,05,Antioquia,Mujer,Cabecera Municipal,C73,Tumor maligno de la tiroides y otras glándulas endocrinas,60-64,4,89462
2010,05,Antioquia,Mujer,Cabecera Municipal,C73,Tumor maligno de la tiroides y otras glándulas endocrinas,80-84,4,22408
2011,05,Antioquia,Mujer,Cabecera Municipal,C73,Tumor maligno de la tiroides y otras glándulas endocrinas,80-84,4,22855
2011,05,Antioquia,Mujer,Cabecera Municipal,C73,Tumor maligno de la tiroides y otras glándulas endocrinas,85 +,4,22584
2012,05,Antioquia,Hombre,Cabecera Municipal,C73,Tumor maligno de la tiroides y otras glándulas endocrinas,70-74,4,37495
2012,05,Antioquia,Mujer,Cabecera Municipal,C73,Tumor maligno de la tiroides y otras glándulas endocrinas,85 +,4,23567
2013,05,Antioquia,Hombre,Cabecera Municipal,C73,Tumor maligno de la tiroides y otras glándulas endocrinas,55-59,4,101821
2013,05,Antioquia,Mujer,Cabecera Municipal,C73,Tumor maligno de la tiroides y otras glándulas endocrinas,85 +,4,24491
2014,05,Antioquia,Hombre,Cabecera Municipal,C73,Tumor maligno de la tiroides y otras glándulas endocrinas,70-74,4,41159
2014,05,Antioquia,Mujer,Cabecera Municipal,C73,Tumor maligno de la tiroides y otras glándulas endocrinas,60-64,4,108309
2014,05,Antioquia,Mujer,Cabecera Municipal,C73,Tumor maligno de la tiroides y otras glándulas endocrinas,70-74,4,56712
2015,05,Antioquia,Mujer,Cabecera Municipal,C73,Tumor maligno de la tiroides y otras glándulas endocrinas,55-59,4,144188
2015,05,Antioquia,Mujer,Cabecera Municipal,C73,Tumor maligno de la tiroides y otras glándulas endocrinas,70-74,4,60227
2016,05,Antioquia,Hombre,Cabecera Municipal,C73,Tumor maligno de la tiroides y otras glándulas endocrinas,50-54,4,136330
2016,05,Antioquia,Hombre,Cabecera Municipal,C73,Tumor maligno de la tiroides y otras glándulas endocrinas,60-64,4,88553
2016,05,Antioquia,Hombre,Cabecera Municipal,C73,Tumor maligno de la tiroides y otras glándulas endocrinas,70-74,4,45449
2016,05,Antioquia,Mujer,Cabecera Municipal,C73,Tumor maligno de la tiroides y otras glándulas endocrinas,85 +,4,26815
2017,05,Antioquia,Hombre,Cabecera Municipal,C73,Tumor maligno de la tiroides y otras glándulas endocrinas,65-69,4,68694
2018,05,Antioquia,Mujer,Cabecera Municipal,C73,Tumor maligno de la tiroides y otras glándulas endocrinas,80-84,4,27543
2018,05,Antioquia,Mujer,Cabecera Municipal,C73,Tumor maligno de la tiroides y otras glándulas endocrinas,85 +,4,28604
2019,05,Antioquia,Mujer,Cabecera Municipal,C73,Tumor maligno de la tiroides y otras glándulas endocrinas,65-69,4,106219
2019,05,Antioquia,Mujer,Cabecera Municipal,C73,Tumor maligno de la tiroides y otras glándulas endocrinas,80-84,4,29808
2020,05,Antioquia,Hombre,Cabecera Municipal,C73,Tumor maligno de la tiroides y otras glándulas endocrinas,60-64,4,108480
1985,05,Antioquia,Mujer,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,60-64,3,29066
1985,05,Antioquia,Mujer,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,65-69,3,22195
1987,05,Antioquia,Mujer,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,70-74,3,17583
1987,05,Antioquia,Mujer,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,75-79,3,11128
1988,05,Antioquia,Hombre,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,55-59,3,40322
1989,05,Antioquia,Mujer,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,60-64,3,36207
1991,05,Antioquia,Hombre,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,60-64,3,34753
1992,05,Antioquia,Mujer,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,60-64,3,40993
1992,05,Antioquia,Mujer,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,65-69,3,31764
1992,05,Antioquia,Mujer,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,75-79,3,15355
1992,05,Antioquia,Mujer,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,80-84,3,8968
1992,05,Antioquia,Mujer,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,85 +,3,9218
1993,05,Antioquia,Mujer,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,65-69,3,33525
1993,05,Antioquia,Mujer,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,70-74,3,24697
1994,05,Antioquia,Mujer,Cabecera Municipal,1940,Tumor maligno de la tiroides y otras glándulas endocrinas,00-04,3,165895
1995,05,Antioquia,Hombre,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,60-64,3,38745
1995,05,Antioquia,Mujer,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,70-74,3,27019
1995,05,Antioquia,Mujer,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,80-84,3,11243
1996,05,Antioquia,Mujer,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,55-59,3,56138
1996,05,Antioquia,Mujer,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,70-74,3,28390
1997,05,Antioquia,Mujer,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,55-59,3,59258
1998,05,Antioquia,Hombre,Cabecera Municipal,C749,Tumor maligno de la tiroides y otras glándulas endocrinas,00-04,3,171299
2001,05,Antioquia,Mujer,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,75-79,3,25159
2002,05,Antioquia,Mujer,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,80-84,3,17382
2005,05,Antioquia,Mujer,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,55-59,3,91547
2006,05,Antioquia,Mujer,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,65-69,3,52058
2006,05,Antioquia,Mujer,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,80-84,3,19854
2007,05,Antioquia,Mujer,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,45-49,3,152729
2007,05,Antioquia,Mujer,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,60-64,3,76550
2007,05,Antioquia,Mujer,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,70-74,3,40168
2010,05,Antioquia,Mujer,Cabecera Municipal,C73,Tumor maligno de la tiroides y otras glándulas endocrinas,55-59,3,115819
2010,05,Antioquia,Mujer,Cabecera Municipal,C73,Tumor maligno de la tiroides y otras glándulas endocrinas,70-74,3,45314
2011,05,Antioquia,Hombre,Cabecera Municipal,C73,Tumor maligno de la tiroides y otras glándulas endocrinas,55-59,3,93413
2011,05,Antioquia,Mujer,Cabecera Municipal,C73,Tumor maligno de la tiroides y otras glándulas endocrinas,65-69,3,69331
2012,05,Antioquia,Mujer,Cabecera Municipal,C73,Tumor maligno de la tiroides y otras glándulas endocrinas,45-49,3,172585
2012,05,Antioquia,Mujer,Cabecera Municipal,C73,Tumor maligno de la tiroides y otras glándulas endocrinas,50-54,3,155698
2013,05,Antioquia,Hombre,Cabecera Municipal,C73,Tumor maligno de la tiroides y otras glándulas endocrinas,85 +,3,13833
2013,05,Antioquia,Mujer,Cabecera Municipal,C73,Tumor maligno de la tiroides y otras glándulas endocrinas,55-59,3,132675
2013,05,Antioquia,Mujer,Cabecera Municipal,C73,Tumor maligno de la tiroides y otras glándulas endocrinas,80-84,3,23709
2014,05,Antioquia,Hombre,Cabecera Municipal,C73,Tumor maligno de la tiroides y otras glándulas endocrinas,65-69,3,60152
2014,05,Antioquia,Hombre,Cabecera Municipal,C73,Tumor maligno de la tiroides y otras glándulas endocrinas,80-84,3,16330
2014,05,Antioquia,Mujer,Cabecera Municipal,C73,Tumor maligno de la tiroides y otras glándulas endocrinas,75-79,3,37175
2015,05,Antioquia,Mujer,Cabecera Municipal,C73,Tumor maligno de la tiroides y otras glándulas endocrinas,65-69,3,86008
2015,05,Antioquia,Mujer,Cabecera Municipal,C73,Tumor maligno de la tiroides y otras glándulas endocrinas,80-84,3,24730
2016,05,Antioquia,Hombre,Cabecera Municipal,C73,Tumor maligno de la tiroides y otras glándulas endocrinas,65-69,3,65679
2016,05,Antioquia,Mujer,Cabecera Municipal,C73,Tumor maligno de la tiroides y otras glándulas endocrinas,70-74,3,63974
2016,05,Antioquia,Mujer,Cabecera Municipal,C73,Tumor maligno de la tiroides y otras glándulas endocrinas,80-84,3,25431
2017,05,Antioquia,Mujer,Cabecera Municipal,C73,Tumor maligno de la tiroides y otras glándulas endocrinas,60-64,3,124975
2017,05,Antioquia,Mujer,Cabecera Municipal,C73,Tumor maligno de la tiroides y otras glándulas endocrinas,85 +,3,27478
2018,05,Antioquia,Hombre,Cabecera Municipal,C73,Tumor maligno de la tiroides y otras glándulas endocrinas,55-59,3,123557
2018,05,Antioquia,Mujer,Cabecera Municipal,C73,Tumor maligno de la tiroides y otras glándulas endocrinas,55-59,3,161370
2019,05,Antioquia,Hombre,Cabecera Municipal,C73,Tumor maligno de la tiroides y otras glándulas endocrinas,85 +,3,18405
2019,05,Antioquia,Hombre,Cabecera Municipal,C749,Tumor maligno de la tiroides y otras glándulas endocrinas,65-69,3,76342
2019,05,Antioquia,Mujer,Cabecera Municipal,C73,Tumor maligno de la tiroides y otras glándulas endocrinas,50-54,3,180158
2019,05,Antioquia,Mujer,Cabecera Municipal,C73,Tumor maligno de la tiroides y otras glándulas endocrinas,60-64,3,138377
2019,05,Antioquia,Mujer,Cabecera Municipal,C73,Tumor maligno de la tiroides y otras glándulas endocrinas,85 +,3,30366
2020,05,Antioquia,Hombre,Cabecera Municipal,C73,Tumor maligno de la tiroides y otras glándulas endocrinas,65-69,3,80845
2020,05,Antioquia,Hombre,Cabecera Municipal,C73,Tumor maligno de la tiroides y otras glándulas endocrinas,80-84,3,20955
1985,05,Antioquia,Hombre,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,55-59,2,35977
1985,05,Antioquia,Hombre,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,70-74,2,13665
1985,05,Antioquia,Hombre,Cabecera Municipal,1940,Tumor maligno de la tiroides y otras glándulas endocrinas,00-04,2,131043
1985,05,Antioquia,Hombre,Cabecera Municipal,1940,Tumor maligno de la tiroides y otras glándulas endocrinas,05-09,2,120181
1985,05,Antioquia,Mujer,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,85 +,2,12096
1986,05,Antioquia,Mujer,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,55-59,2,40152
1986,05,Antioquia,Mujer,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,65-69,2,23282
1986,05,Antioquia,Mujer,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,70-74,2,16739
1986,05,Antioquia,Mujer,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,75-79,2,10530
1987,05,Antioquia,Hombre,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,70-74,2,14692
1987,05,Antioquia,Mujer,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,50-54,2,48160
1987,05,Antioquia,Mujer,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,85 +,2,10683
1988,05,Antioquia,Hombre,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,70-74,2,15197
1988,05,Antioquia,Hombre,Cabecera Municipal,1940,Tumor maligno de la tiroides y otras glándulas endocrinas,00-04,2,140428
1988,05,Antioquia,Hombre,Cabecera Municipal,1940,Tumor maligno de la tiroides y otras glándulas endocrinas,60-64,2,30727
1988,05,Antioquia,Mujer,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,55-59,2,43338
1988,05,Antioquia,Mujer,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,60-64,2,34407
1988,05,Antioquia,Mujer,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,65-69,2,25755
1988,05,Antioquia,Mujer,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,70-74,2,18419
1988,05,Antioquia,Mujer,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,85 +,2,10173
1989,05,Antioquia,Mujer,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,70-74,2,19533
1990,05,Antioquia,Hombre,Cabecera Municipal,1940,Tumor maligno de la tiroides y otras glándulas endocrinas,00-04,2,147722
1990,05,Antioquia,Mujer,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,60-64,2,37882
1990,05,Antioquia,Mujer,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,70-74,2,20702
1991,05,Antioquia,Mujer,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,65-69,2,30047
1991,05,Antioquia,Mujer,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,70-74,2,21953
1991,05,Antioquia,Mujer,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,75-79,2,14482
1991,05,Antioquia,Mujer,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,85 +,2,9329
1992,05,Antioquia,Hombre,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,70-74,2,17954
1992,05,Antioquia,Hombre,Cabecera Municipal,1940,Tumor maligno de la tiroides y otras glándulas endocrinas,00-04,2,155594
1992,05,Antioquia,Mujer,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,70-74,2,23253
1993,05,Antioquia,Hombre,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,70-74,2,18834
1993,05,Antioquia,Mujer,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,60-64,2,42443
1993,05,Antioquia,Mujer,Cabecera Municipal,1940,Tumor maligno de la tiroides y otras glándulas endocrinas,00-04,2,162663
1994,05,Antioquia,Hombre,Cabecera Municipal,1940,Tumor maligno de la tiroides y otras glándulas endocrinas,05-09,2,156439
1994,05,Antioquia,Mujer,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,60-64,2,43683
1995,05,Antioquia,Hombre,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,50-54,2,60576
1995,05,Antioquia,Hombre,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,80-84,2,7115
1995,05,Antioquia,Hombre,Cabecera Municipal,1940,Tumor maligno de la tiroides y otras glándulas endocrinas,00-04,2,166357
1995,05,Antioquia,Mujer,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,60-64,2,44763
1995,05,Antioquia,Mujer,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,75-79,2,18886
1995,05,Antioquia,Mujer,Cabecera Municipal,1940,Tumor maligno de la tiroides y otras glándulas endocrinas,55-59,2,53325
1996,05,Antioquia,Mujer,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,65-69,2,38007
1998,05,Antioquia,Hombre,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,45-49,2,84422
1998,05,Antioquia,Hombre,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,85 +,2,5471
1998,05,Antioquia,Mujer,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,80-84,2,13162
1999,05,Antioquia,Hombre,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,65-69,2,33872
1999,05,Antioquia,Hombre,Cabecera Municipal,C749,Tumor maligno de la tiroides y otras glándulas endocrinas,10-14,2,167351
1999,05,Antioquia,Mujer,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,45-49,2,109277
1999,05,Antioquia,Mujer,Cabecera Municipal,C749,Tumor maligno de la tiroides y otras glándulas endocrinas,45-49,2,109277
1999,05,Antioquia,Mujer,Centros Poblados y Rural Disperso,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,45-49,2,33554
2000,05,Antioquia,Mujer,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,45-49,2,114469
2000,05,Antioquia,Mujer,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,65-69,2,42422
2001,05,Antioquia,Hombre,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,55-59,2,60579
2001,05,Antioquia,Hombre,Cabecera Municipal,C749,Tumor maligno de la tiroides y otras glándulas endocrinas,00-04,2,170660
2001,05,Antioquia,Mujer,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,50-54,2,96901
2001,05,Antioquia,Mujer,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,55-59,2,74418
2001,05,Antioquia,Mujer,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,65-69,2,43284
2002,05,Antioquia,Hombre,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,65-69,2,36297
2002,05,Antioquia,Mujer,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,75-79,2,26245
2002,05,Antioquia,Mujer,Cabecera Municipal,C749,Tumor maligno de la tiroides y otras glándulas endocrinas,05-09,2,185873
2003,05,Antioquia,Mujer,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,50-54,2,106279
2003,05,Antioquia,Mujer,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,55-59,2,82895
2003,05,Antioquia,Mujer,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,65-69,2,45667
2003,05,Antioquia,Mujer,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,70-74,2,36586
2003,05,Antioquia,Mujer,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,75-79,2,27283
2003,05,Antioquia,Mujer,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,80-84,2,18317
2004,05,Antioquia,Hombre,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,60-64,2,51523
2004,05,Antioquia,Hombre,Cabecera Municipal,C749,Tumor maligno de la tiroides y otras glándulas endocrinas,00-04,2,165522
2004,05,Antioquia,Mujer,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,55-59,2,87173
2004,05,Antioquia,Mujer,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,75-79,2,28182
2004,05,Antioquia,Mujer,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,80-84,2,18597
2005,05,Antioquia,Mujer,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,75-79,2,28906
2005,05,Antioquia,Mujer,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,85 +,2,16381
2006,05,Antioquia,Hombre,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,75-79,2,21343
2006,05,Antioquia,Hombre,Cabecera Municipal,C759,Tumor maligno de la tiroides y otras glándulas endocrinas,60-64,2,56753
2006,05,Antioquia,Mujer,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,75-79,2,29637
2006,05,Antioquia,Mujer,Cabecera Municipal,C749,Tumor maligno de la tiroides y otras glándulas endocrinas,00-04,2,157191
2007,05,Antioquia,Hombre,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,75-79,2,21999
2007,05,Antioquia,Hombre,Cabecera Municipal,C749,Tumor maligno de la tiroides y otras glándulas endocrinas,00-04,2,160632
2007,05,Antioquia,Mujer,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,85 +,2,18381
2007,05,Antioquia,Mujer,Cabecera Municipal,C749,Tumor maligno de la tiroides y otras glándulas endocrinas,00-04,2,155165
2008,05,Antioquia,Hombre,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,70-74,2,32208
2008,05,Antioquia,Hombre,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,85 +,2,10129
2008,05,Antioquia,Hombre,Cabecera Municipal,C749,Tumor maligno de la tiroides y otras glándulas endocrinas,00-04,2,159074
2008,05,Antioquia,Hombre,Cabecera Municipal,C751,Tumor maligno de la tiroides y otras glándulas endocrinas,60-64,2,62335
2008,05,Antioquia,Mujer,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,45-49,2,157736
